Códigos_de_indicadores,Descripciones_de_los_indicadores
3.3.2,"Incidencia de tuberculosis pulmonar (por cada 100 mil habitantes)"
3.3.3,"Incidencia de paludismo (por cada 100 mil habitantes)"
3.3.5,"Proporción de tratamientos otorgados a casos confirmados de paludismo, para la prevención, control y eliminación de la transmisión del Plasmodium Vivax"
3r.3.1,"Tasa de prevalencia del VIH/SIDA entre la población de 15 a 49 años"
3r.3.2,"Mortalidad por VIH/SIDA, desglosada por sexo"
3.7.1,"Porcentaje de mujeres en edad fértil (15 a 49 años) unidas con demanda satisfecha de métodos anticonceptivos modernos"
3.7.2.a,"Tasa de fecundidad en niñas y adolescentes (de 10 a 14 años) por cada 1 000 niñas y adolescentes en ese grupo de edad"
3.7.2.b,"Tasa de fecundidad en adolescentes (de 15 a 19 años) por cada 1 000 mujeres de ese grupo de edad"
3r.7.a,"Porcentaje del último hijo nacido vivo en el periodo de 2013 a 2018, tenido a la edad de 15 a 29 años, que no fue planificado"
3.9.2,"Tasa de mortalidad atribuida al agua insalubre, el saneamiento deficiente y la falta de higiene (exposición a servicios insalubres de agua, saneamiento e higiene para todos (WASH))"
3n.1.1,"Porcentaje de la población que presenta carencia por acceso a los servicios de salud"
3n.1.2,"Porcentaje de población que tardaría menos de dos horas en llegar a un hospital en caso de una emergencia"
3n.1.3,"Porcentaje de población derechohabiente que no gastó en servicios médicos la última vez que recibió atención médica"
3n.1.4,"Porcentaje de hogares con gasto catastrófico en salud"
3n.4.1,"Porcentaje de la población con sobrepeso y obesidad"
4.2.2,"Tasa de participación en el aprendizaje organizado (un año antes de la edad oficial de ingreso en la enseñanza primaria), desglosada por sexo"
4.3.1,"Tasa de participación de los jóvenes y adultos en la enseñanza y formación académica y no académica en los últimos 12 meses, desglosada por sexo"
4r.3.1,"Tasa bruta de matrícula de educación superior, desglosada por sexo"
4.4.1,"Proporción de jóvenes y adultos con conocimientos de tecnología de la información y las comunicaciones (TIC), desglosada por tipo de conocimiento técnico"
4.6.1.a,"Porcentaje de población en un grupo de edad determinado que alcanza por lo menos un nivel fijo de competencia funcional en alfabetización, desglosado por sexo"
4r.6.1,"Tasa de alfabetización de las personas de 15 a 24 años y de 15 años o más, desglosada por sexo"
4.a.1.a,"Proporción de escuelas con acceso a electricidad por entidad federativa y nivel educativo"
4.a.1.b,"Proporción de escuelas con acceso a internet por entidad federativa y nivel educativo"
4.a.1.c,"Proporción de escuelas con equipos de cómputo en funcionamiento por entidad federativa y nivel educativo"
4.a.1.d1,"Proporción de escuelas con infraestructura adaptada para discapacidad por entidad federativa y nivel educativo"
4.a.1.d2,"Proporción de escuelas con materiales adaptados para discapacidad por entidad federativa y nivel educativo"
4.a.1.e,"Proporción de escuelas con conexión a la red pública de agua potable por entidad federativa y nivel educativo"
4.a.1.f,"Proporción de escuelas con sanitarios independientes por entidad federativa y nivel educativo"
4.a.1.g,"Proporción de escuelas con lavabo de manos por entidad federativa y nivel educativo"
4.c.1.a,"Proporción del profesorado de educación preescolar, que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo (por ejemplo, formación pedagógica) exigida para impartir enseñanza a nivel preescolar en México"
4.c.1.b,"Proporción del profesorado de educación primaria, que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo (por ejemplo, formación pedagógica) exigida para impartir enseñanza a nivel primaria en México"
4.c.1.c,"Proporción del profesorado de educación secundaria, que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo (por ejemplo, formación pedagógica) exigida para impartir enseñanza a nivel secundaria en México"
4n.1.1,"Porcentaje de alumnos que asisten a escuelas de organización escolar multigrado"
4n.2.1,"Prevalencia de la violencia en el ámbito escolar, entre las mujeres de 15 años y más en los últimos 12 meses"
5.2.1.a,"Proporción de mujeres de 15 años de edad o más, que han sufrido violencia física, sexual o psicológica infligida por un compañero íntimo actual o anterior, en los 12 meses anteriores, por entidad federativa según tipo de violencia"
5.2.1.b,"Proporción de mujeres de 15 años de edad o más, que han sufrido violencia física, sexual o psicológica infligida por un compañero íntimo actual o anterior, en los 12 meses anteriores, por grupos de edad según tipo de violencia"
5.2.2.a,"Proporción de mujeres y niñas a partir de 15 años de edad que han sufrido violencia sexual a manos de personas que no eran su pareja en los últimos 12 meses, por entidad federativa y lugar del hecho"
5.2.2.b,"Proporción de mujeres y niñas a partir de 15 años de edad que han sufrido violencia sexual a manos de personas que no eran su pareja en los últimos 12 meses, desglosada por edad y lugar del hecho"
5.3.1,"Proporción de mujeres de entre 20 y 24 años que estaban casadas o mantenían una unión estable antes de cumplir los 15 años y antes de cumplir los 18 años"
5.4.1.,"Proporción de tiempo dedicado al trabajo doméstico y asistencial no remunerado, desglosada por sexo, edad y ubicación"
5.5.1.a,"Proporción de escaños ocupados por mujeres en la Cámara de Diputados"
5.5.1.b,"Proporción de mujeres en las gubernaturas de las entidades federativas"
5.5.1.c,"Proporción de presidentas municipales"
5.5.2,"Proporción de mujeres en cargos directivos"
5.b.1,"Proporción de personas que utilizan teléfonos móviles, desglosada por sexo"
5n.1.1,"Razón del ingreso laboral de trabajadoras/trabajadores por nivel de escolaridad"
5n.1.2,"Brecha en el tiempo promedio que hombres y mujeres destinan a quehaceres domésticos, por grupos de edad"
5n.1.3,"Brecha en el tiempo promedio que niñas y niños destinan a quehaceres domésticos y al cuidado a integrantes del hogar"
5n.1.4,"Ingreso laboral real promedio de las personas ocupadas según sexo"
5n.3.1,"Proporción de mujeres y niñas a partir de 15 años de edad que han experimentado violencia física o sexual  por otro agresor distinto a la pareja y pidieron apoyo a alguna institución o presentaron una queja o denuncia ante alguna autoridad"
6.1.1.,"Proporción de la población que dispone de servicios de suministro de agua potable gestionados de manera segura"
6.2.1.,"Proporción de la población que utiliza servicios de saneamiento gestionados de manera segura,  incluida una instalación para lavarse las manos con agua y jabón"
6.3.1,"Proporción de aguas residuales tratadas de manera adecuada"
6.3.2.,"Proporción de cuerpos de agua de buena calidad"
6.4.1.,"Cambio en la eficiencia del uso del agua a lo largo del tiempo"
6.4.2,"Nivel de estrés hídrico: extracción de agua dulce como proporción de los recursos disponibles de agua dulce."
6.5.1.,"Grado de implementación de la gestión integrada de los recursos hídricos"
6.5.2.,"Proporción de la superficie de cuencas transfronterizas sujetas a arreglos operacionales para la cooperación en materia de aguas"
6n.1.1,"Porcentaje de la población que tiene acceso al agua entubada diariamente así como al saneamiento"
6n.2.1,"Grado de presión sobre el recurso hídrico de las zonas centro y norte del país"
6n.2.2,"Rendimiento de cultivos básicos en zonas con infraestructura de riego"
7.1.1,"Proporción de la población con acceso a la electricidad"
7.1.1.a,"Proporción de la población con acceso a la electricidad"
7.1.1.b,"Proporción de la población con acceso a la electricidad"
7.2.1,"Proporción de la energía renovable en el consumo final total de energía"
7.3.1,"Intensidad energética medida en función de la energía primaria y el PIB"
7n.1.1,"Porcentaje de participación de las energías limpias en la matriz de generación de energía eléctrica"
7n.2.1,"Intensidad energética nacional"
8.1.1,"Tasa de crecimiento anual del PIB real per cápita"
8.2.1,"Tasa de crecimiento del PIB por persona ocupada"
8.3.1,"Proporción del empleo informal en el empleo no agropecuario, desglosada por sexo"
8.5.2,"Tasa de desocupación, desglosada por sexo y edad"
8.6.1.,"Proporción de jóvenes (de 15 a 24 años) que no estudian, no tienen empleo ni reciben capacitación"
8.7.1,"Proporción de la población de 5 a 17 años que realiza una ocupación infantil no permitida, desglosada por sexo y edad"
8.8.1,"Tasa de incidencia de lesiones ocupacionales mortales y no mortales, desglosada por sexo"
8.9.1,"PIB directo turístico como proporción del PIB total y en tasas de crecimiento"
8.10.1.a,"Número de sucursales de bancos comerciales por cada 100 000 adultos"
8.10.1.b,"Número de cajeros automáticos por cada 100 000 adultos"
8.10.2,"Proporción de adultos (de 15 años o más) con una cuenta en un banco u otra institución financiera o con un proveedor móvil de servicios monetarios"
8n.1.1,"Tasa de participación laboral de personas con discapacidad"
8n.2.2,"Número de Personas Trabajadoras del Hogar afiliadas ante el Instituto Mexicano del Seguro Social"
8n.3.1,"Porcentaje de la población entre 18 y 70 años que tiene una cuenta en un banco u otra institución financiera"
8n.4.1,"Variación anual del índice global de productividad laboral de la economía"
9.1.1,"Proporción de la población rural que vive a menos de 2 km de una carretera transitable todo el año"
9.1.2.a.,"Volumen de transporte de pasajeros, desglosado por medio de transporte"
9.1.2.b.,"Volumen de transporte de carga, desglosado por medio de transporte"
9.2.1.a,"Valor agregado por manufactura como proporción del PIB"
9.2.1.b,"Valor agregado por manufactura per cápita"
9.2.2,"Ocupación en la manufactura como proporción del empleo total, desglosada por sexo"
9.4.1,"Emisiones de dióxido de carbono total por PIB por paridad de poder de compra"
9.5.1,"Gastos en investigación y desarrollo como proporción del PIB"
9.5.2,"Investigadores (valor equivalente a tiempo completo) por millón de habitantes"
9.c.1.,"Proporción de la población abarcada por una red móvil, desglosada por tecnología"
9n.3.1,"Porcentaje del Personal Ocupado generado por las MIPyMEs (comprende asalariados, no asalariados y empleos suministrados por otra razón social)"
10.3.1.,"Proporción de la población que declara haberse sentido personalmente discriminada o acosada en los últimos 12 meses por motivos de discriminación prohibidos por el derecho internacional de los derechos humanos"
10.4.1,"Proporción laboral del PIB que comprende los salarios y las transferencias de protección social"
10r.4.1a,"Índice de Gini con transferencias"
10r.4.1b,"Índice de Gini sin transferencias"
10n.1.1,"Crecimiento del ingreso corriente de los hogares por deciles"
10n.2.1,"Porcentaje que representa el ingreso de los dos deciles más bajos sobre los dos deciles más altos"
10n.3.1,"Porcentaje de la población de 18 años y más, bisexual, gay o lesbiana u otra orientación  que declaró la negación de sus derechos en los últimos cinco años"
11.1.1,"Proporción de la población urbana que habita en viviendas precarias"
11.4.1,"Total de gasto público per cápita en la protección ambiental"
11.5.1,"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes"
11.6.1.a,"Porcentaje de residuos sólidos urbanos recolectados con disposición final adecuada"
12.5.1.a,"Porcentaje de residuos sólidos urbanos recolectados reciclables"
12n.1.1,"Porcentaje de municipios con disposición adecuada de residuos sólidos urbanos"
13.1.1,"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes"
14.5.1,"Cobertura de las zonas protegidas en relación con las zonas marinas"
14.a.1,"Proporción del Presupuesto Federal para Investigación Científica y Desarrollo Experimental asignado a la Secretaría de Marina"
15.1.1,"Superficie forestal como proporción de la superficie total"
15.1.2,"Proporción de lugares importantes para la diversidad biológica terrestre y del agua dulce que forman parte de zonas protegidas, desglosada por tipo de ecosistema"
15.4.2.,"Índice de cobertura verde de las montañas"
15.5.1,"Proporción de especies en peligro de extinción"
15n.2.1,"Tasa anual de deforestación bruta a nivel nacional"
16.1.1,"Número de defunciones por homicidio por cada 100 000 habitantes, desglosado por sexo y edad"
16.1.3.a,"Proporción de la población que ha sufrido violencia física en los últimos 12 meses"
16.1.3.b,"Proporción de la población que ha sufrido violencia psicológica en los últimos 12 meses"
16.1.3.c,"Proporción de la población que ha sufrido violencia sexual en los últimos 12 meses"
16.1.4.,"Proporción de la población que se siente segura al caminar sola por la noche en su zona de residencia"
16.3.1,"Proporción de víctimas de violencia en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.1.a,"Proporción de víctimas de violencia física en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.1.b,"Proporción de víctimas de violencia psicológica en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.1.c,"Proporción de mujeres víctimas de violencia sexual en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.2,"Proporción de detenidos que no han sido condenados en el conjunto de la población reclusa total"
16.5.1.,"Proporción de personas que han tenido al menos un contacto con un funcionario público y que han pagado un soborno a un funcionario público, o a las que un funcionario público les ha pedido un soborno, durante los últimos 12 meses"
16.5.2,"Proporción de negocios que han tenido al menos un contacto con un funcionario público y que han pagado un soborno a un funcionario público, o a los que un funcionario público les ha pedido un  soborno, durante los últimos 12 meses"
16.6.1,"Gastos primarios del gobierno como proporción del presupuesto aprobado original, desglosados por sector (o por códigos presupuestarios o elementos similares)"
16.6.2.a,"Satisfacción con el servicio de educación pública obligatoria"
16.6.2.b,"Satisfacción con el servicio de educación pública universitaria"
16.7.2.,"Proporción de la población que considera que la adopción de decisiones es inclusiva y participativa"
16.b.1.,"Proporción de la población que declara haberse sentido personalmente discriminada o acosada en los últimos 12 meses por motivos de discriminación prohibidos por el derecho internacional de los derechos humanos."
16n.1.1,"Prevalencia delictiva en personas de 18 años y más"
16n.1.2,"Prevalencia delictiva en unidades económicas"
16n.2.1,"Porcentaje de personas de 18 años y más que identifica a la policía estatal y manifiesta que le genera confianza"
16n.2.2,"Porcentaje de personas de 18 años y más que identifica a los Ministerios Públicos y Procuradurías y manifiesta que les generan confianza"
16n.2.3,"Porcentaje de delitos ocurridos y denunciados donde el trato recibido al momento de la denuncia, por parte del Ministerio Público, fue calificado como bueno o excelente"
16n.2.4,"Porcentaje de la población de 18 años y más que tiene mucha o algo de confianza en jueces"
16n.3.1.a,"Porcentaje de la población de 18 años y más satisfecha con el servicio de calles y avenidas"
16n.3.1.b,"Porcentaje de la población de 18 años y más satisfecha con el servicio de parques y jardines públicos"
16n.3.1.c,"Porcentaje de la población de 18 años y más satisfecha con el servicio de agua potable"
16n.3.1.d,"Porcentaje de la población de 18 años y más satisfecha con el servicio de drenaje y alcantarillado"
16n.3.1.e,"Porcentaje de la población de 18 años y más satisfecha con el servicio de alumbrado público"
16n.3.1.f,"Porcentaje de la población de 18 años y más satisfecha con el servicio de recolección de basura"
16n.3.2,"Confianza en el Gobierno Federal"
17.1.1,"Total de los ingresos del gobierno como proporción del PIB, desglosado por fuente"
17.1.2,"Proporción del presupuesto nacional financiado por impuestos internos"
17.3.2,"Volumen de las remesas (en dólares de los Estados Unidos) como proporción del PIB total"
17.4.1,"Servicio de la deuda como proporción de las exportaciones de bienes y servicios"
17.6.1,"Accesos del servicio fijo de Internet por cada 100 habitantes, desglosados por velocidad"
17.8.1,"Proporción de personas que usan internet, por entidad federativa"
17.8.1.a,"Proporción de personas que usan Internet, dentro y fuera del hogar"
17n.1.1,"Autonomía fiscal de gobiernos subnacionales (ingresos propios como proporción de los ingresos totales de estados)"
17n.4.1,"Crecimiento de los puestos de trabajo ocupados totales del sector de la cultura"
17n.4.2,"Crecimiento real del valor agregado bruto del sector de la cultura"
